"Name","Start date of trip","Duration of Visit (Days)","Destination","Purpose of trip","Mode of transport","Class of travel","Accomodation/Meals","Other (including hospitality given)","Total cost, including all visas, accommodation, travel, meals etc. ()","Total Cost of Use of Official Secure Car","Booked through"
"Lloyd, Ms. Myrtle",2016-10-18,"","","Overnight stay in London - Dinner.","T&S - Subsistence","","","",26,"",""
"Lloyd, Ms. Myrtle",2016-10-18,"","ZONE U1* LONDN","External Meeting","Rail","Standard","","",110,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-18,"","ZONE U1* LONDN","INTERNAL MEETING","Rail","Standard","","",136,"","Redfern"
"Oppenheim, Mr. Jeremy",2016-10-18,"","","taxi home following return from officisal visit to Liverpool.","Taxis","","","",23.98,"",""
"Duffy, Mr. Philip",2016-10-19,"","Folkestone Central","External Meeting","Rail","Standard","","",5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-19,"","","Dinner (Overnight stay in London)","T&S - Subsistence","","","",26,"",""
"Lloyd, Ms. Myrtle",2016-10-19,"","","Tube fare","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Lloyd, Ms. Myrtle",2016-10-19,"","East Croydon","External Meeting","Rail","Standard","","",16.6,"","Redfern"
"Montgomery, Sir Charles Percival",2016-10-19,"","Fareham","External Meeting","Rail","Standard","","",8.5,"","Redfern"
"Montgomery, Sir Charles Percival",2016-10-19,"","Winchester","External Meeting","Rail","Standard","","",8.5,"","Redfern"
"O'brien, Mr. John",2016-10-19,"","","Meeting at Darlington- last minute travel","T&S - Planes, Trains and Automobiles","Standard/Economy","","",133.5,"",""
"O'brien, Mr. John",2016-10-19,"","","Taxi to Kings Cross","Taxis","","","",26,"",""
"O'brien, Mr. John",2016-10-19,"","","Taxi from Station to Hotel. No public transport","Taxis","","","",19,"",""
"O'brien, Mr. John",2016-10-19,"","","External meeting","T&S - Subsistence","","","",26,"",""
"Eastaugh, Mr. Tony",2016-10-20,"","","Taxi need from Horley station to venue (Roffey Park)","Taxis","","","",29,"",""
"Eastaugh, Mr. Tony",2016-10-20,"","Gatwick Airport","External Meeting","Rail","Standard","","",46.4,"","Redfern"
"Greaves, Mr. Daniel Paul",2016-10-20,"","","Moreton-in-Marsh - Fire services Council","Taxis","","","",9,"",""
"Hills, Mr. Gareth David",2016-10-20,"","Leeds","External Meeting","Rail","Standard","","",66,"","Redfern"
"Hills, Mr. Gareth David",2016-10-20,"","London Heathrow","External Meeting","Air Tickets","Economy","","",0,"","Redfern"
"Hills, Mr. Gareth David",2016-10-20,"","London Kings Cross","External Meeting","Rail","Standard","","",41,"","Redfern"
"Ind, Mr. Hugh Timothy",2016-10-20,"","","Transformation Steering Group Away Day - taxi from Gatwick to Roffey Park","Taxis","","","",30,"",""
"Ind, Mr. Hugh Timothy",2016-10-20,"","","Fares - visits to teams based in Fleetbank House.","T&S - Planes, Trains and Automobiles","","","",6.3,"",""
"Ind, Mr. Hugh Timothy",2016-10-20,"","Gatwick Airport","External Meeting","Rail","Standard","","",15.5,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-20,"","","taxi from Peterborough train station to Peterborough Passport Office","Taxis","","","",4.8,"",""
"Lloyd, Ms. Myrtle",2016-10-20,"","","taxi from railway station to home. No suitable public transport.","Taxis","","","",7.5,"",""
"Lloyd, Ms. Myrtle",2016-10-20,"","","taxi from Peterborough Passport Office to train station","Taxis","","","",5,"",""
"Lloyd, Ms. Myrtle",2016-10-20,"","","Tube fare","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Lloyd, Ms. Myrtle",2016-10-20,"","","Early start, late finish, No time for breakfast","T&S - Subsistence","","","",4.43,"",""
"Lloyd, Ms. Myrtle",2016-10-20,"","Chester","External Meeting","Rail","Standard","","",83.3,"","Redfern"
"Lloyd, Ms. Myrtle",2016-10-20,"","Peterborough","External Meeting","Rail","Standard","","",53.5,"","Redfern"
"O'brien, Mr. John",2016-10-20,"","","Hotel to Stephenson House. No public transport","Taxis","","","",24,"",""
"O'brien, Mr. John",2016-10-20,"","","Taxi Stephenson House to Darlington station. No public transport","Taxis","","","",7,"",""
"O'brien, Mr. John",2016-10-20,"","","Last minute travel","T&S - Planes, Trains and Automobiles","Standard/Economy","","",49,"",""
"O'brien, Mr. John",2016-10-20,"","","Underground to Kings cross","T&S - Planes, Trains and Automobiles","","","",2.4,"",""
"Owen, Mr. Marc",2016-10-20,"","","Travel to Croydon for Ralon Conference","T&S - Planes, Trains and Automobiles","Standard/Economy","","",3.6,"",""
"Owen, Mr. Marc",2016-10-20,"","","Travel back from meeting in Croydon","T&S - Planes, Trains and Automobiles","Standard/Economy","","",4.2,"",""
"Parsons, Mr. Michael John",2016-10-20,"","","Travel from meeting in Liverpool","Taxis","","","",6,"",""
"Wilkinson, Ms. Patsy",2016-10-20,"","","Taxi from Pimlico station to King's Cross station enroute to HMPO Peterborough","Taxis","","","",5,"",""
"Wilkinson, Ms. Patsy",2016-10-20,"","","Taxi from King's Cross Station to 2 Marsham St after visit to HMPO Peterborough","Taxis","","","",16,"",""
"Wilkinson, Ms. Patsy",2016-10-20,"","Peterborough","External Meeting","Rail","Standard","","",60.7,"","Redfern"
"Williams, Ms. Wendy",2016-10-20,"","Newcastle","External Meeting","Rail","Standard","","",46,"","Redfern"
