ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,23-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703,"£35,751.77"
HMCS,23-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703,"£47,019.60"
HMCS,30-Mar-11,AV332-CBMP Civil Bus Mod Programme,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642,"£30,240.00"
HMCS,30-Mar-11,AA499-HMCS Change Programme,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642,"£52,038.58"
HMCS,30-Mar-11,FZ999-Midlands Region,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642,"£35,310.00"
HMCS,31-Mar-11,BZ999-London Region,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1548225,"£35,038.63"
HMCS,02-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1512025,"£75,939.20"
HMCS,23-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1537703,"£71,223.31"
HMCS,23-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1537703,"£135,272.66"
HMCS,30-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,SOFTWARE RELIABILITY INSPECTORATE LTD,1547917,"£120,000.00"
HMCS,30-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,SOFTWARE RELIABILITY INSPECTORATE LTD,1547917,"£120,000.00"
HMCS,31-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1548493,"£74,082.67"
HMCS,09-Mar-11,GZ999-North West Region,226106-Jurors Catering Costs,EUREST SERVICES,1520051,"£34,939.19"
HMCS,18-Mar-11,HZ999-North East and Yorkshire,226106-Jurors Catering Costs,EUREST SERVICES,1531630,"£25,981.63"
HMCS,23-Mar-11,FZ999-Midlands Region,226106-Jurors Catering Costs,EUREST SERVICES,1537413,"£25,126.82"
HMCS,16-Mar-11,DZ999-South West Region,226202-Court Reporters Loggers,MERRILL LEGAL SOLUTIONS,1529213,"£45,441.73"
HMCS,23-Mar-11,BZ999-London Region,226202-Court Reporters Loggers,SELLERS LEGAL SERVICES LTD,1538041,"£49,755.80"
HMCS,31-Mar-11,BZ999-London Region,226202-Court Reporters Loggers,MERRILL LEGAL SOLUTIONS,1548520,"£31,177.96"
